TCAid	B_S_alias	comments
239333	b012478s1236	
237427	b0125678s02347	
158600	b378s02458	
238287	b012367s04678	
199576	b3478s0278	
27400	b38s0245	
234874	b134568s13678	
241904	b01245s1234	
242514	b012458s0247	
244023	b012456s03467	
245148	b23478s1234678	L
10344	b356s24	
245047	b0124567s03467	
237677	b02356s4678	
26408	b358s0145	
236668	b23456s123678	
241357	b02367s0124678	
78632	b358s0347	
243290	b1346s0134678	
245043	b0124567s0347	H
22152	b37s0135	
60168	b38s02456	
134568	b3578s128	
245156	b0124567s0136	G
235512	b345678s013678	
244829	b02346s1234678	
27016	b378s245	
157896	b367s2458	
235961	b034578s23678	
222376	b357s14578	
116120	b3478s1567	
239791	b012357s24678	
223560	b368s24578	G
235452	b234578s013678	
201368	b347s0378	
242377	b0367s034678	
236987	b0134578s123678	
203208	b3678s2378	LE
11048	b358s024	
134376	b3567s128	F
54280	b3s1356	
135768	b346s038	
241496	b3468s0124678	GF
183560	b38s12568	G
38312	b3578s136	F
107880	b3568s1467	F
133592	b34678s28	F
137544	b368s238	LV
67224	b347s017	F
242597	b012458s0136	
242001	b01245s024	Gepp
143976	b356s0348	
240812	b2357s124678	
244022	b012456s03467	
239931	b013458s24678	G
2904	b3468s02	
241494	b0124678s02467	Sl
243656	b3678s0134678	
157224	b35s01458	M
240305	b012468s134	
2776	b3467s02	
224072	b368s024578	GSl
239007	b0123478s14678	LE
137288	b36s238	LV
239420	b23458s014678	
6344	b367s23	LE
234174	b123457s03678	F
104136	b367s01367	
6600	b3678s23	LE
241100	b23678s124678	Gs
235962	b134578s23678	
242121	b03678s34678	Sched
236507	b0134678s023678	
2360	b3458s2	F
235231	b0123467s013678	
243109	b012457s0136	Gs
176840	b367s03468	GF
235484	b234678s013678	
238510	b123578s04678	
224136	b378s024578	
238260	b01248s1346	F
236505	b034678s023678	F
233342	b1234568s012678	
243537	b0124578s024	
236220	b23457s023678	F
